,belong
9953,1.0
1397,1.0
10490,1.0
1864,1.0
2643,1.0
5815,1.0
9607,1.0
5634,1.0
5001,1.0
14289,1.0
7646,1.0
1055,1.0
13967,1.0
3642,1.0
15566,1.0
14499,1.0
15863,1.0
8248,1.0
622,1.0
5684,1.0
5638,1.0
16094,1.0
14971,1.0
13163,1.0
2192,1.0
11256,1.0
15418,1.0
14085,1.0
12420,1.0
2470,1.0
4456,1.0
3396,1.0
10146,1.0
4488,1.0
8736,1.0
14738,1.0
12142,1.0
12389,1.0
11061,1.0
12991,1.0
15673,1.0
14103,1.0
2398,1.0
10280,1.0
14972,1.0
12720,1.0
15832,1.0
3935,1.0
14806,1.0
3555,1.0
5593,1.0
13807,1.0
6112,1.0
1346,1.0
15810,1.0
11616,1.0
6193,1.0
2886,1.0
8478,1.0
4398,1.0
9195,1.0
6800,1.0
2874,1.0
7945,1.0
4978,1.0
13448,1.0
11776,1.0
2004,1.0
2448,1.0
14503,1.0
14752,1.0
6890,1.0
8909,1.0
6175,1.0
6540,1.0
685,1.0
416,1.0
1230,1.0
2507,1.0
15296,1.0
6575,1.0
6290,1.0
14996,1.0
11409,1.0
12212,1.0
8034,1.0
1508,1.0
174,1.0
3234,1.0
15273,1.0
9655,1.0
397,1.0
11569,1.0
9367,1.0
1828,1.0
14546,1.0
8389,1.0
5528,1.0
9949,1.0
5525,1.0
3973,1.0
7217,1.0
5892,1.0
9046,1.0
9737,1.0
5929,1.0
10227,1.0
7516,1.0
3816,1.0
8062,1.0
371,1.0
6728,1.0
2690,1.0
14600,1.0
4396,1.0
2369,1.0
14973,1.0
12007,1.0
14548,1.0
6501,1.0
11818,1.0
9386,1.0
6845,1.0
13130,1.0
1559,1.0
13000,1.0
3953,1.0
214,1.0
467,1.0
4558,1.0
10081,1.0
13120,1.0
9978,1.0
3820,1.0
4724,1.0
11657,1.0
6429,1.0
16034,1.0
10585,1.0
10898,1.0
11433,1.0
234,1.0
10151,1.0
6249,1.0
11759,1.0
3740,1.0
9015,1.0
2324,1.0
11189,1.0
13624,1.0
11878,1.0
15499,1.0
14129,1.0
3138,1.0
2354,1.0
5519,1.0
6124,1.0
4565,1.0
12505,1.0
4033,1.0
6618,1.0
6066,1.0
4797,1.0
7995,1.0
2371,1.0
7512,1.0
5753,1.0
16161,1.0
12349,1.0
12243,1.0
13333,1.0
10969,1.0
4182,1.0
12413,1.0
14786,1.0
986,1.0
7348,1.0
6278,1.0
13433,1.0
2697,1.0
1907,1.0
3222,1.0
14551,1.0
9066,1.0
14199,1.0
12295,1.0
15398,1.0
5793,1.0
1928,1.0
1246,1.0
519,1.0
1582,1.0
13189,1.0
1337,1.0
10058,1.0
11035,1.0
7852,1.0
5823,1.0
3632,1.0
3518,1.0
9659,1.0
9987,1.0
3969,1.0
14367,1.0
7091,1.0
3526,1.0
886,1.0
16170,1.0
4208,1.0
13007,1.0
736,1.0
15722,1.0
10237,1.0
10412,1.0
2427,1.0
3299,1.0
13582,1.0
6156,1.0
7608,1.0
7264,1.0
9632,1.0
3355,1.0
3319,1.0
5494,1.0
7567,1.0
5603,1.0
3506,1.0
1063,1.0
7761,1.0
15864,1.0
13314,1.0
10550,1.0
1009,1.0
16054,1.0
781,1.0
10586,1.0
10869,1.0
4360,1.0
14995,1.0
15269,1.0
4772,1.0
10826,1.0
4944,1.0
11180,1.0
13860,1.0
15811,1.0
6070,1.0
8811,1.0
6747,1.0
10369,1.0
4409,1.0
12839,1.0
4078,1.0
2474,1.0
5783,1.0
883,1.0
14194,1.0
7240,1.0
6927,1.0
1995,1.0
3723,1.0
4079,1.0
8272,1.0
2762,1.0
16171,1.0
6730,1.0
16087,1.0
14766,1.0
11858,1.0
5332,1.0
7661,1.0
3915,1.0
9241,1.0
2866,1.0
4499,1.0
173,1.0
635,1.0
8239,1.0
11098,1.0
9211,1.0
1425,1.0
16117,1.0
12616,1.0
6637,1.0
2124,1.0
16131,1.0
15102,1.0
12660,1.0
9616,1.0
4507,1.0
5074,1.0
13096,1.0
9707,1.0
9291,1.0
2291,1.0
8574,1.0
3970,1.0
15726,1.0
10500,1.0
6849,1.0
14036,1.0
15912,1.0
7970,1.0
1905,1.0
8418,1.0
7438,1.0
14020,1.0
1773,1.0
4250,1.0
13057,1.0
4929,1.0
14107,1.0
9409,1.0
7410,1.0
3833,1.0
15966,1.0
8076,1.0
7034,1.0
3455,1.0
4902,1.0
4075,1.0
6975,1.0
14220,1.0
11979,1.0
6180,1.0
7041,1.0
6102,1.0
11723,1.0
361,1.0
2135,1.0
580,1.0
9276,1.0
3705,1.0
4095,1.0
3600,1.0
11186,1.0
1001,1.0
2600,1.0
8199,1.0
9505,1.0
4495,1.0
4611,1.0
1048,1.0
10734,1.0
13981,1.0
11843,1.0
7909,1.0
7943,1.0
11000,1.0
9259,1.0
3121,1.0
11294,1.0
405,1.0
8610,1.0
8405,1.0
1997,1.0
13937,1.0
7757,1.0
12966,1.0
14172,1.0
2088,1.0
2887,1.0
845,1.0
7574,1.0
12034,1.0
266,1.0
16126,1.0
10426,1.0
5975,1.0
12035,1.0
11606,1.0
6651,1.0
14847,1.0
7171,1.0
9950,1.0
1961,1.0
10929,1.0
3880,1.0
5592,1.0
5197,1.0
13903,1.0
6010,1.0
1377,1.0
2335,1.0
10213,1.0
1968,1.0
8978,1.0
11088,1.0
3304,1.0
3411,1.0
11355,1.0
12211,1.0
5711,1.0
14338,1.0
6064,1.0
4576,1.0
3256,1.0
1351,1.0
3314,1.0
4094,1.0
3792,1.0
2244,1.0
8423,1.0
12812,1.0
15904,1.0
13530,1.0
9464,1.0
12170,1.0
8163,1.0
7459,1.0
450,1.0
1027,1.0
12716,1.0
7710,1.0
1678,1.0
13065,1.0
7341,1.0
13629,1.0
15887,1.0
12955,1.0
9636,1.0
6080,1.0
15180,1.0
5896,1.0
11170,1.0
1546,1.0
7558,1.0
11069,1.0
14778,1.0
8652,1.0
863,1.0
15342,1.0
6187,1.0
15692,1.0
6087,1.0
3309,1.0
13970,1.0
1172,1.0
10017,1.0
5890,1.0
13868,1.0
5095,1.0
705,1.0
699,1.0
10666,1.0
11871,1.0
13526,1.0
11277,1.0
15284,1.0
207,1.0
874,1.0
7828,1.0
10744,1.0
2034,1.0
14017,1.0
1120,1.0
508,1.0
5686,1.0
11066,1.0
4870,1.0
14840,1.0
13702,1.0
1402,1.0
8315,1.0
2878,1.0
15248,1.0
3293,1.0
9806,1.0
11888,1.0
13674,1.0
893,1.0
5125,1.0
9177,1.0
15652,1.0
13292,1.0
9739,1.0
4452,1.0
9013,1.0
12023,1.0
13090,1.0
10795,1.0
3246,1.0
2832,1.0
9911,1.0
9217,1.0
115,1.0
15009,1.0
4156,1.0
9750,1.0
4155,1.0
15738,1.0
10407,1.0
7831,1.0
6542,1.0
11856,1.0
8998,1.0
3516,1.0
5816,1.0
10156,1.0
12641,1.0
4901,1.0
12232,1.0
8377,1.0
2311,1.0
1728,1.0
16096,1.0
12535,1.0
6874,1.0
12428,1.0
9939,1.0
9841,1.0
1805,1.0
748,1.0
75,1.0
9844,1.0
11171,1.0
14049,1.0
302,1.0
7313,1.0
14492,1.0
2885,1.0
15802,1.0
10070,1.0
7996,1.0
10359,1.0
8428,1.0
592,1.0
6002,1.0
3729,1.0
10266,1.0
3806,1.0
8323,1.0
6084,1.0
2484,1.0
11594,1.0
14739,1.0
12169,1.0
5459,1.0
4052,1.0
7228,1.0
10112,1.0
882,1.0
6107,1.0
3537,1.0
1819,1.0
756,1.0
7361,1.0
711,1.0
6919,1.0
3002,1.0
3356,1.0
14726,1.0
5840,1.0
9347,1.0
9086,1.0
13429,1.0
5689,1.0
5964,1.0
14430,1.0
2833,1.0
710,1.0
10595,1.0
9423,1.0
12997,1.0
4370,1.0
3581,1.0
9321,1.0
12608,1.0
5870,1.0
15091,1.0
12518,1.0
8348,1.0
7276,1.0
13541,1.0
10864,1.0
11408,1.0
8668,1.0
935,1.0
165,1.0
5845,1.0
15472,1.0
11840,1.0
9278,1.0
7079,1.0
14191,1.0
3150,1.0
10546,1.0
8567,1.0
1637,1.0
16208,1.0
16201,1.0
7739,1.0
15762,1.0
3151,1.0
8756,1.0
11573,1.0
6817,1.0
4658,1.0
5508,1.0
3974,1.0
11531,1.0
30,1.0
7823,1.0
13643,1.0
7939,1.0
2439,1.0
2713,1.0
10060,1.0
4773,1.0
15658,1.0
6840,1.0
11150,1.0
11820,1.0
13661,1.0
5820,1.0
12692,1.0
9219,1.0
7957,1.0
15725,1.0
8422,1.0
7302,1.0
4733,1.0
12945,1.0
13838,1.0
8187,1.0
7639,1.0
8529,1.0
7170,1.0
3646,1.0
12659,1.0
11248,1.0
14163,1.0
5871,1.0
3176,1.0
14215,1.0
